source_id,text
3586,"The given map illustrates the changes of the village Chorleywood, located near London, whose population has grown since 1850.
Overall, the structure of the village changed significantly from 1868 to 1994. It is clear that the village growth is particularly linked with the building of the motorway and the railway. The increased infrastructure shaped the layout of surrounded area.
The village was situated on the main road and was comparatively small rom 1868 until 1883. However, from 1883 onwards, the village grew significantly on the southern side. This was due to the railway contstruction in 1909. The part around the Chorleyood Station got populated and stretched along the railroad until the 1970s.
Another key factor of the development was the construction of the motorway in 1970. The motorway was build on the eastern side of the city and crossed the main road as well as the railway. This resulted in new developments around the newly built motorway on former unspoiled land, espescially the Chorleywood Park and Golf Course."
1695,"(CNN)NBA superstar Kevin Durant has been accused of using homophobic and misogynistic slurs in private messages with Michael Rapaport after the US actor and comedian shared them on social media.Rapaport posted screenshots of the pair's Instagram direct messages on Twitter and Instagram in which Durant appeared to use homophobic, misogynistic and profane language. ""I receive threats and disgusting messages DAILY, but never in my wildest dreams did I think [Kevin Durant] would be among them,"" Rapaport wrote on Tuesday afternoon. ""The [snake emoji] himself is now threatening me, bringing up my wife and wants to fight. This is supposed to be America's sweetheart right?""According to the screenshots, the confrontation began last year when Rapaport criticized Durant's post-game interview after the Nets' season-opening victory over the Golden State Warriors in December. Read MoreREAD: Utah Jazz 'shaken, but unharmed' after team plane forced into emergency landing after bird strikeRapaport in New York in 2019.In the messages, Durant insulted the 51-year-old Rapaport, as well as offering to fight the actor, even asking for his address. Durant appeared to confirm that the messages were real, responding to a Tweet from another user: ""Me and mike talk CRAZIER than this on the regular and today he's pissed....My bad mike, damn!!"" CNN has reached out to Durant, Rapaport, the NBA and the Brooklyn Nets for comment.Durant could face a fine from the NBA for using the homophobic language.Durant was previously recognized by Time magazine, which named him one of the world's most influential people. The two-time NBA champ is often remembered for a trophy acceptance speech in which he called his mother the real MVP. READ: 'Cheering for her to get it done': Black women coaches' March Madness history momentIt's not the first time Durant has been in hot water for his activity on social media. In 2017, he was outed for using burner accounts to defend himself around his exit from Oklahoma City Thunder. And just last year, he admitted on an episode of 'All the Smoke' podcast with former NBA players Matt Barnes and Stephen Jackson that he uses burner accounts to defend his honor occasionally. Wayne Sterling contributed to this report."
3553,"Nowadays, trading businesses are made throughout the world resulting from the increased globalization. Consequently, employees are requested to have a variety of knowledge in their jobs due to remain a highly competitive capabilities in labour markets over the world. Parents have much struggles on the arrangement regarding additional classes out of school to their children in order to gain the competitive advantages in their future career. This eassy attempts to find out the main considerations on this.
There is no doubt that school curriculum largely focuses on academic studies, including physical, Maths and organic chemistry etc., Those subjects are designed to connect with learning in a higher education. It is reasonable to say that this curriculum may not enable the teenagers to gain various knowledeges aspects of digital world and our planet. Learning in extra classes out of syllabus is an opportunity for them to really discover what they may be passionate about and in turn, help them develop new skills that may come in handy for a future occupation that is related.
On the other hand, it is not difficult to notice a lot of parents forcing their children into learning something that does not interest them. Sometimes, the intensive courses are arranged by parents to their children study at the weekends. As a result, it could lead to undesired results or even negative impacts on the parent-child relationship, so maybe it's best for children to figure it out on their own sometimes.
My take on this is that younsters are extremely inquisitive and energetic, consequently, it's really the prime time of their life to explore and learn new things. Studying in classes outside the syllabus are good intention, but children are forced to learn what their parents love to only. This not only ruins the parent-child relationship but also may results in children's resistance to learning."
1080,"Now, for our consciences, the arms are fair When the intent of bearing them is just. Enter another Messenger. MESSENGER. My lord, prepare. The King comes on apace. HOTSPUR. I thank him that he cuts me from my tale, For I profess not talking. Only this: Let each man do his best. And here draw I A sword whose temper I intend to stain With the best blood that I can meet withal In the adventure of this perilous day. Now, Esperance! Percy! And set on. Sound all the lofty instruments of war, And by that music let us all embrace, For, Heaven to Earth, some of us never shall A second time do such a courtesy. [_The trumpets sound. They embrace, and exeunt._]  SCENE III. Plain between the Camps. The King enters with his power. Alarum to the battle. Then enter Douglas and Sir Walter Blunt. BLUNT. What is thy name that in the battle thus Thou crossest me? What honour dost thou seek Upon my head? DOUGLAS. Know then my name is Douglas, And I do haunt thee in the battle thus Because some tell me that thou art a king. BLUNT. They tell thee true. DOUGLAS. The Lord of Stafford dear today hath bought Thy likeness, for instead of thee, King Harry, This sword hath ended him. So shall it thee, Unless thou yield thee as my prisoner. BLUNT. I was not born a yielder, thou proud Scot, And thou shalt find a king that will revenge Lord Stafford’s death. [_They fight, and Blunt is slain._]  Enter Hotspur. HOTSPUR. O Douglas, hadst thou fought at Holmedon thus, I never had triumphed upon a Scot. DOUGLAS. All’s done, all’s won; here breathless lies the King. HOTSPUR. Where? DOUGLAS. Here. HOTSPUR. This, Douglas? No, I know this face full well. A gallant knight he was, his name was Blunt, Semblably furnish’d like the King himself. DOUGLAS. A fool go with thy soul, whither it goes! A borrow’d title hast thou bought too dear. Why didst thou tell me that thou wert a king? HOTSPUR. The King hath many marching in his coats. DOUGLAS. Now, by my sword, I will kill all his coats; I’ll murder all his wardrobe, piece by piece, Until I meet the King. HOTSPUR. Up, and away! Our soldiers stand full fairly for the day. [_Exeunt._]  Alarums. Enter Falstaff solus. FALSTAFF. Though I could scape shot-free at London, I fear the shot here. Here’s no scoring but upon the pate.—Soft! who are you? Sir Walter Blunt. There’s honour for you. Here’s no vanity. I am as hot as molten lead, and as heavy too. God keep lead out of me, I need no more weight than mine own bowels. I have led my ragamuffins where they are peppered. There’s not three of my hundred and fifty left alive, and they are for the town’s end, to beg during life. But who comes here? Enter Prince Henry. PRINCE. What, stand’st thou idle here? Lend me thy sword. Many a nobleman lies stark and stiff Under the hoofs of vaunting enemies, Whose deaths are yet unrevenged. I prithee Lend me thy sword. FALSTAFF. O Hal, I prithee give me leave to breathe awhile. Turk Gregory never did such deeds in arms as I have done this day. I have paid Percy, I have made him sure. PRINCE. He is indeed, and living to kill thee. I prithee, lend me thy sword. FALSTAFF. Nay, before God, Hal, if Percy be alive, thou gett’st not my sword; but take my pistol, if thou wilt. PRINCE. Give it me. What, is it in the case? FALSTAFF. Ay, Hal, ’tis hot, ’tis hot. There’s that will sack a city. [_The Prince draws out a bottle of sack._]  PRINCE. What, is it a time to jest and dally now? [_Throws it at him, and exit._]  FALSTAFF. Well, if Percy be alive, I’ll pierce him. If he do come in my way, so; if he do not, if I come in his willingly, let him make a carbonado of me. I like not such grinning honour as Sir Walter hath. Give me life, which if I can save, so: if not, honour comes unlooked for, and there’s an end. [_Exit._]  SCENE IV. Another Part of the Field. Alarums. Excursions. Enter King Henry, Prince Henry, Lancaster and Westmoreland. KING. I prithee, Harry, withdraw thyself, thou bleedest too much. Lord John of Lancaster, go you with him. LANCASTER. Not I, my lord, unless I did bleed too."
4233,"Regarding education, gender equity is crucial. Some people argue that universities should enrol an equal number of men and women in every field. Personally, I totally agree with that statement because I believe it is fairer and it is better for the society.
The main reason male and female students should be equal in number is that it would be more equitable. In fact, numerous studies have stated that their brains are not working the same way. In other words, their cognitive capacities are different, so they should not compete with each other for university admissions. It does not mean that a gender is more intelligent than the other. For example, men are generally known to have a better spacial orientation, while women's ability to memorize is superior. Similarly, their physical capacities are not the same either, and that is why men and women do not compete against each other in sports competitions.
Another reason to separate sexes regarding university admissions is because it ensure a better distribution of gender among the labor market. Broadly speaking, it is well known that males work, in their life, more hours that females. This is principally due to the fact that women take more maternity leave than men. Unfortunately, it can consequently create a problem in the society.For example, nowadays, women represent the majority of students in medicine as they have better grades in high school. As a result, there is not enough working staff in hospitals when they quit to take care of their families. The same situation applies to every field with a majority of women such as jobs in health services.
In conclusion, I reiterate that there should be an equal number of male and female students enrolled in universities because it would be more equitable and ensure a better repartition of genders among different fields of employment."
1391,"Not one of them That yet looks on me, or would know me. Ariel, Fetch me the hat and rapier in my cell. [_Exit Ariel._]  I will discase me, and myself present As I was sometime Milan. Quickly, spirit; Thou shalt ere long be free. Ariel re-enters, singing, and helps to attire Prospero. ARIEL _Where the bee sucks, there suck I: In a cowslip’s bell I lie; There I couch when owls do cry. On the bat’s back I do fly After summer merrily. Merrily, merrily shall I live now Under the blossom that hangs on the bough._  PROSPERO. Why, that’s my dainty Ariel! I shall miss thee; But yet thou shalt have freedom; so, so, so. To the King’s ship, invisible as thou art: There shalt thou find the mariners asleep Under the hatches; the master and the boatswain Being awake, enforce them to this place, And presently, I prithee. ARIEL. I drink the air before me, and return Or ere your pulse twice beat. [_Exit._]  GONZALO. All torment, trouble, wonder and amazement Inhabits here. Some heavenly power guide us Out of this fearful country! PROSPERO. Behold, sir King, The wronged Duke of Milan, Prospero. For more assurance that a living prince Does now speak to thee, I embrace thy body; And to thee and thy company I bid A hearty welcome. ALONSO. Whe’er thou be’st he or no, Or some enchanted trifle to abuse me, As late I have been, I not know: thy pulse Beats, as of flesh and blood; and, since I saw thee, Th’ affliction of my mind amends, with which, I fear, a madness held me: this must crave, An if this be at all, a most strange story. Thy dukedom I resign, and do entreat Thou pardon me my wrongs. But how should Prospero Be living and be here? PROSPERO. First, noble friend, Let me embrace thine age, whose honour cannot Be measur’d or confin’d. GONZALO. Whether this be Or be not, I’ll not swear. PROSPERO. You do yet taste Some subtleties o’ the isle, that will not let you Believe things certain. Welcome, my friends all. [_Aside to Sebastian and Antonio._] But you, my brace of lords, were I so minded, I here could pluck his highness’ frown upon you, And justify you traitors: at this time I will tell no tales. SEBASTIAN. [_Aside._] The devil speaks in him. PROSPERO. No. For you, most wicked sir, whom to call brother Would even infect my mouth, I do forgive Thy rankest fault, all of them; and require My dukedom of thee, which perforce I know Thou must restore. ALONSO. If thou beest Prospero, Give us particulars of thy preservation; How thou hast met us here, whom three hours since Were wrack’d upon this shore; where I have lost,— How sharp the point of this remembrance is!— My dear son Ferdinand. PROSPERO. I am woe for ’t, sir. ALONSO. Irreparable is the loss, and patience Says it is past her cure. PROSPERO. I rather think You have not sought her help, of whose soft grace, For the like loss I have her sovereign aid, And rest myself content. ALONSO. You the like loss! PROSPERO. As great to me, as late; and, supportable To make the dear loss, have I means much weaker Than you may call to comfort you, for I Have lost my daughter. ALONSO. A daughter? O heavens, that they were living both in Naples, The King and Queen there! That they were, I wish Myself were mudded in that oozy bed Where my son lies. When did you lose your daughter? PROSPERO. In this last tempest. I perceive, these lords At this encounter do so much admire That they devour their reason, and scarce think Their eyes do offices of truth, their words Are natural breath; but, howsoe’er you have Been justled from your senses, know for certain That I am Prospero, and that very duke Which was thrust forth of Milan; who most strangely Upon this shore, where you were wrack’d, was landed To be the lord on’t. No more yet of this; For ’tis a chronicle of day by day, Not a relation for a breakfast nor Befitting this first meeting. Welcome, sir. This cell’s my court: here have I few attendants, And subjects none abroad: pray you, look in. My dukedom since you have given me again, I will requite you with as good a thing; At least bring forth a wonder, to content ye As much as me my dukedom."
1249,"We are yet but young in deed. [_Exeunt._]  SCENE V. The heath. Thunder. Enter the three Witches meeting Hecate. FIRST WITCH. Why, how now, Hecate? you look angerly. HECATE. Have I not reason, beldams as you are, Saucy and overbold? How did you dare To trade and traffic with Macbeth In riddles and affairs of death; And I, the mistress of your charms, The close contriver of all harms, Was never call’d to bear my part, Or show the glory of our art? And, which is worse, all you have done Hath been but for a wayward son, Spiteful and wrathful; who, as others do, Loves for his own ends, not for you. But make amends now: get you gone, And at the pit of Acheron Meet me i’ th’ morning: thither he Will come to know his destiny. Your vessels and your spells provide, Your charms, and everything beside. I am for th’ air; this night I’ll spend Unto a dismal and a fatal end. Great business must be wrought ere noon. Upon the corner of the moon There hangs a vap’rous drop profound; I’ll catch it ere it come to ground: And that, distill’d by magic sleights, Shall raise such artificial sprites, As, by the strength of their illusion, Shall draw him on to his confusion. He shall spurn fate, scorn death, and bear His hopes ’bove wisdom, grace, and fear. And you all know, security Is mortals’ chiefest enemy. [_Music and song within, “Come away, come away” &c._]  Hark! I am call’d; my little spirit, see, Sits in a foggy cloud and stays for me. [_Exit._]  FIRST WITCH. Come, let’s make haste; she’ll soon be back again. [_Exeunt._]  SCENE VI. Forres. A Room in the Palace. Enter Lennox and another Lord. LENNOX. My former speeches have but hit your thoughts, Which can interpret farther: only, I say, Thing’s have been strangely borne. The gracious Duncan Was pitied of Macbeth:—marry, he was dead:— And the right valiant Banquo walk’d too late; Whom, you may say, if’t please you, Fleance kill’d, For Fleance fled. Men must not walk too late. Who cannot want the thought, how monstrous It was for Malcolm and for Donalbain To kill their gracious father? damned fact! How it did grieve Macbeth! did he not straight, In pious rage, the two delinquents tear That were the slaves of drink and thralls of sleep? Was not that nobly done? Ay, and wisely too; For ’twould have anger’d any heart alive, To hear the men deny’t. So that, I say, He has borne all things well: and I do think, That had he Duncan’s sons under his key (As, and’t please heaven, he shall not) they should find What ’twere to kill a father; so should Fleance. But, peace!—for from broad words, and ’cause he fail’d His presence at the tyrant’s feast, I hear, Macduff lives in disgrace. Sir, can you tell Where he bestows himself? LORD. The son of Duncan, From whom this tyrant holds the due of birth, Lives in the English court and is receiv’d Of the most pious Edward with such grace That the malevolence of fortune nothing Takes from his high respect. Thither Macduff Is gone to pray the holy king, upon his aid To wake Northumberland, and warlike Siward That, by the help of these (with Him above To ratify the work), we may again Give to our tables meat, sleep to our nights; Free from our feasts and banquets bloody knives, Do faithful homage, and receive free honours, All which we pine for now. And this report Hath so exasperate the King that he Prepares for some attempt of war. LENNOX. Sent he to Macduff? LORD. He did: and with an absolute “Sir, not I,” The cloudy messenger turns me his back, And hums, as who should say, “You’ll rue the time That clogs me with this answer.”  LENNOX. And that well might Advise him to a caution, t’ hold what distance His wisdom can provide. Some holy angel Fly to the court of England, and unfold His message ere he come, that a swift blessing May soon return to this our suffering country Under a hand accurs’d! LORD. I’ll send my prayers with him. [_Exeunt._]   ACT IV  SCENE I. A dark Cave. In the middle, a Cauldron Boiling. Thunder. Enter the three Witches. FIRST WITCH. Thrice the brinded cat hath mew’d. SECOND WITCH. Thrice, and once the hedge-pig whin’d. THIRD WITCH."
1083,"[541] 1 Thess. iv. 16. [542] Ps. xii. 7. [543] Cf. _de Trin._ v. 17. [544] Wisdom ix. 13-15. [545] Gen. i. 1. [546] Gen. i. 14. [547] Rom. xii. 3. [548] Titus i. 2, 3. Augustine here follows the version of Jerome, and not the Vulgate. Comp. _Contra Priscill._ 6, and _de Gen. c. Man._ iv. 4. [549] 2 Cor. x. 12. Here, and in _Enar. in_ Ps. xxxiv., and also in _Cont. Faust._ xxii. 47, Augustine follows the Greek, and not the Vulgate. [550] _i.e._ indefinite, or an indefinite succession of things. [551] Again in the _Timæus_. [552] Wisdom xi. 20. [553] Isa. xl. 26. [554] Matt. x. 30. [555] Ps. cxlvii. 5. [556] De sæculis sæculorum. [557] Ps. cxlviii. 4. [558] Cicero has the same (_de Amicitia_, 16): ""Quonam modo quisquam amicus esse poterit, cui se putabit inimicum esse posse?"" He also quotes Scipio to the effect that no sentiment is more unfriendly to friendship than this, that we should love as if some day we were to hate. [559] C. 30. [560] Coquæus remarks that this is levelled against the Pelagians. [561]  ""Quando leoni Fortior eripuit vitam leo? quo nemore unquam Exspiravit aper majoris dentibus apri? Indica tigris agit rabida cum tigride pacem Perpetuam; sævis inter se convenit ursis. Ast homini,"" etc. JUVENAL, _Sat._ xv. 160-5. --See also the very striking lines which precede these. [562] See this further discussed in _Gen. ad Lit._ vii. 35, and in Delitzsch's _Bibl. Psychology_. [563] Jer. xxiii. 24. [564] Wisdom viii. 1. [565] 1 Cor. iii. 7. [566] 1 Cor. xv. 38. [567] Jer. i. 5. [568] Compare _de Trin._ iii. 13-16. [569] See Book xi. 5. [570] ""The Deity, desirous of making the universe in all respects resemble the most beautiful and entirely perfect of intelligible objects, formed it into one visible animal, containing within itself all the other animals with which it is naturally allied."" --_Timæus_, c. xi. [571] Ps. xlvi. 8. [572] Ps. xxv. 10. BOOK THIRTEENTH. ARGUMENT. IN THIS BOOK IT IS TAUGHT THAT DEATH IS PENAL, AND HAD ITS ORIGIN IN ADAM'S SIN. 1. _Of the fall of the first man, through which mortality has been contracted._  Having disposed of the very difficult questions concerning the origin of our world and the beginning of the human race, the natural order requires that we now discuss the fall of the first man (we may say of the first men), and of the origin and propagation of human death. For God had not made man like the angels, in such a condition that, even though they had sinned, they could none the more die. He had so made them, that if they discharged the obligations of obedience, an angelic immortality and a blessed eternity might ensue, without the intervention of death; but if they disobeyed, death should be visited on them with just sentence--which, too, has been spoken to in the preceding book. 2. _Of that death which can affect an immortal soul, and of that to which the body is subject._  But I see I must speak a little more carefully of the nature of death. For although the human soul is truly affirmed to be immortal, yet it also has a certain death of its own. For it is therefore called immortal, because, in a sense, it does not cease to live and to feel; while the body is called mortal, because it can be forsaken of all life, and cannot by itself live at all. The death, then, of the soul takes place when God forsakes it, as the death of the body when the soul forsakes it. Therefore the death of both--that is, of the whole man--occurs when the soul, forsaken by God, forsakes the body. For, in this case, neither is God the life of the soul, nor the soul the life of the body. And this death of the whole man is followed by that which, on the authority of the divine oracles, we call the second death. This the Saviour referred to when He said, ""Fear Him which is able to destroy both soul and body in hell. ""[573] And since this does not happen before the soul is so joined to its body that they cannot be separated at all, it may be matter of wonder how the body can be said to be killed by that death in which it is not forsaken by the soul, but, being animated and rendered sensitive by it, is tormented."
3655,"Education programs are different from one area to another area, there are systems that learners are required to choose restricted number of courses for their academic curriculum by the age of 15.while,other educational systems ask students to take comprehensive courses until they graduate from school. There are many positives for both trends, in my opinion limited range of academic subjects education system is better.
On the one hand, it is basic knowledge to accept the idea that pupils who study selected number of subjects from age of fifteen are more informative academically in specified field of study. For example, when student decide to take medical subjects from early age the student will be prepared by tutors completely for the nominated curriculum,as a result all the student's focus will be on medical topics thus, the student is more qualified to practice medicine more efficiently after school graduation.Furthermore, this system will build a solid knowledge background in limited range of subjects can help to develop creativity at early age.Moreover, in the financial view point it may be better for students to enroll limited range of subjects from age of 15; selected number of academic subjects means less money allocated for educational services by guardians.
On the other hand, it is true to claim that general subjects system can prepare students to be more informative in various different live aspects. Since, students who register with wide range subjects system can gain academic knowledge and support in fields such as mathematics,physics,medicine,and....ect. Therefore,those students can select more than one speciality to practice as a professionalism in future.Besides, wide range system help to improve social interactions better,because friends will not be separated and they continue school education together until graduation,inaddition there is chance to make more friends as primises are more crowded.
To sum up, educational systems main target is to develop and progress academic background of students.But, in my opinion,it is better to enroll limited range of subjects from age of 15 due to reasons like: solid academic background in specific field,creativity,and less financial burden on parents."
2976,"(Reuters)The National Women's Soccer League (NWSL) has agreed in principle on how to handle the changes that are being demanded by players after allegations of sexual misconduct engulfed the league, interim CEO Marla Messing said on Wednesday.The National Women's Soccer League Players Association (NWSLPA) earlier this month called on the league to cooperate with its independent investigation after the Athletic outlined misconduct allegations involving former North Carolina Courage coach Paul Riley after speaking to more than a dozen players.The report sent shockwaves through the NWSL, leading to the departure of former Commissioner Lisa Baird and appointment of Messing. US Soccer and FIFA also announced they would investigate.READ: Former NWSL player Kaiya McCullough calls for accountability after widespread women's football abuse scandal""I am committed to achieving institutional change on behalf of the players and everyone else associated with this league,"" Messing told reporters.Read MoreShe added that the league and NWSLPA will ""collaborate"" on a single investigation.Messing, a former executive with Major League Soccer (MLS), declined to say whether she would pursue a permanent role with the league. She said that she was focused on immediate reform ahead of the NWSL's 10-year anniversary next year.""We have to make the changes that are fundamental to having a league where players feel valued and safe and feel like they are receiving the respect that they deserve,"" she said.The Athletic said Riley has denied ""the majority"" of the allegations."
